gene	status
IGF2BP3	candidate
IGF2R	candidate
IGFN1	candidate
IGLL5	candidate
IGSF10	candidate
IKZF2	candidate
IKZF3	candidate
IL13RA1	candidate
IL18RAP	candidate
IL1A	candidate
IL1B	candidate
IL1RL1	candidate
IL22	candidate
IL2RG	candidate
IL36A	candidate
IL4R	candidate
IMMP2L	candidate
IMP4	candidate
IMPG2	candidate
ING1	candidate
INHBA	candidate
INO80	candidate
INPP4A	candidate
INPP4B	candidate
INPP5J	candidate
INPPL1	candidate
INSR	candidate
INSYN2B	candidate
INTS12	candidate
INTS4	candidate
INTS6L	candidate
INTS7	candidate
IPO4	candidate
IPO5	candidate
IPO7	candidate
IQCB1	candidate
IQCG	candidate
IQGAP1	candidate
IQGAP2	candidate
IRAG1	candidate
IRAG2	candidate
IRAK4	candidate
IRF1	candidate
IRF2	candidate
IRF2BP2	candidate
IRF5	candidate
IRF6	candidate
IRF7	candidate
IRF8	candidate
IRS1	candidate
IRS2	candidate
IRX6	candidate
ISCA2	candidate
ISOC2	candidate
ITCH	candidate
ITGA4	candidate
ITGAE	candidate
ITGB7	candidate
ITIH1	candidate
ITK	candidate
ITLN1	candidate
ITPKB	candidate
ITPR3	candidate
ITPRID1	candidate
IWS1	candidate
JAG1	candidate
JAKMIP2	candidate
JMJD1C	candidate
KALRN	candidate
KANSL1	candidate
KARS1	candidate
KASH5	candidate
KATNB1	candidate
KBTBD11	candidate
KBTBD4	candidate
KBTBD8	candidate
KCNA4	candidate
KCNA6	candidate
KCNAB1	candidate
KCNB2	candidate
KCNH2	candidate
KCNH5	candidate
KCNJ9	candidate
KCNK1	candidate
KCNK10	candidate
KCNN2	candidate
KCNN3	candidate
KCNQ3	candidate
KCNQ5	candidate
KCNT2	candidate
KCNU1	candidate
KCTD2	candidate
KCTD7	candidate
KCTD8	candidate
KDELR1	candidate
KDM1A	candidate
KDM1B	candidate
KDM2A	candidate
KDM2B	candidate
KEL	candidate
KHDC3L	candidate
KHDRBS2	candidate
KHSRP	candidate
KIF13A	candidate
KIF16B	candidate
KIF1A	candidate
KIF1B	candidate
KIF21A	candidate
KIF21B	candidate
KIF27	candidate
KIF2B	candidate
KIFC3	candidate
KIN	candidate
KIR3DL1	candidate
KLF2	candidate
KLF5	candidate
KLHDC4	candidate
KLHL10	candidate
KLHL11	candidate
KLHL17	candidate
KLHL5	candidate
KLHL6	candidate
KLHL8	candidate
KLK1	candidate
KLK3	candidate
KLK6	candidate
KLK7	candidate
KMO	candidate
KMT2B	candidate
KMT2E	candidate
KNDC1	candidate
KPNB1	candidate
KRCC1	candidate
KREMEN1	candidate
KRT13	candidate
KRT15	candidate
KRT222	candidate
KRT84	candidate
KRTAP12-1	candidate
KRTAP13-3	candidate
KRTAP20-2	candidate
KRTAP4-3	candidate
KRTAP4-5	candidate
KRTAP5-11	candidate
KRTAP5-5	candidate
KTN1	candidate
LAMA2	candidate
LAMA3	candidate
LAMA4	candidate
LAMB1	candidate
LAMC1	candidate
LAPTM4A	candidate
LAPTM4B	candidate
LARP1	candidate
LARP7	candidate
LBP	candidate
LCE1D	candidate
LCE4A	candidate
LCTL	candidate
LDB1	candidate
LDHAL6A	candidate
LDLRAD1	candidate
LEMD2	candidate
LEMD3	candidate
LEPR	candidate
LETM1	candidate
LFNG	candidate
LGALS1	candidate
LGSN	candidate
LIFR	candidate
LILRB1	candidate
LILRB2	candidate
LIMCH1	candidate
LIMD2	candidate
LIMK1	candidate
LIN7A	candidate
LLGL1	candidate
LLGL2	candidate
LMCD1	candidate
LMNTD2	candidate
LMX1A	candidate
LONRF1	candidate
LONRF3	candidate
LOXHD1	candidate
LPAR1	candidate
LPAR3	candidate
LPAR4	candidate
LRFN2	candidate
LRFN5	candidate
LRIG1	candidate
LRIG2	candidate
LRP1	candidate
LRRC17	candidate
LRRC18	candidate
LRRC32	candidate
LRRC37A3	candidate
LRRC45	candidate
LRRC47	candidate
LRRC4C	candidate
LRRC55	candidate
LRRC66	candidate
