otu	domain	phylum	order	class	family	genus	quality
OTU_142	OTU_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_143	OTU_143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|90
OTU_144	OTU_144	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_145	OTU_145	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
OTU_146	OTU_146	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|91
OTU_147	OTU_147	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|96
OTU_148	OTU_148	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_149	OTU_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|98
OTU_150	OTU_150	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_151	OTU_151	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|93
OTU_152	OTU_152	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_153	OTU_153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|96
OTU_154	OTU_154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
OTU_155	OTU_155	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|96
OTU_156	OTU_156	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	|100
OTU_157	OTU_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|86
OTU_158	OTU_158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_159	OTU_159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	|100
OTU_160	OTU_160	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_161	OTU_161	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	|93
