entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000229180	0.3	RABGEF1P1	RABGEF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55751]	n/a	-0.716267312550718	0.758053548666795	0	2.32875428605446e-05	0.0225334759338119	0.0767718727174401	0.155548327272641	0.221753563222459
ENSG00000229204	0.3	PTGES3P3	prostaglandin E synthase 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43823]	n/a	0.632994160148234	0.975160419727153	4.16180135458134e-07	7.50179502684521e-05	0.0339767213095344	0.127985227335679	0.194206328313151	0.234991637898949
ENSG00000229388	0.3	TAF12-DT	TAF12 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52502]	n/a	-0.757924619483136	1.38349417135204	2.43285726588854e-07	0.000381874880250262	0.0311108999197058	0.0840862893255547	0.169026286907324	0.221354552833044
ENSG00000229417	0.3	NPM1P25	nucleophosmin 1 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:45204]	n/a	0.890292139465624	1.32652829001251	4.2725107010375e-10	4.2727292365978e-07	0.000650516751647464	0.0557558816216657	0.110714732954453	0.156892949849661
ENSG00000229481	0.3	NA	NA	n/a	-1.09744524127221	2.05909189860969	6.08106480234434e-06	0.00029054409874674	0.0145711758847643	0.0536232492690007	0.105838554293351	0.174481351380313
ENSG00000229589	0.3	ACVR2B-AS1	ACVR2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44161]	n/a	-0.667702057468622	1.26247509406858	5.62061930982437e-07	0.00355009797919603	0.0475442659494086	0.137057296146391	0.22272828301553	0.261535440634764
ENSG00000229666	0.3	MAST4-AS1	MAST4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40865]	n/a	-0.689873696811349	1.4861119632491	5.57246554754584e-05	0.00309845240632953	0.0372044713107592	0.122791557133576	0.190355762079385	0.238610563545175
ENSG00000229689	0.3	ANKRD33BP1	ANKRD33B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56293]	n/a	0.691586360232826	1.07788141960014	1.96195974899668e-11	1.84157242494023e-07	0.00125548509939085	0.075306399903344	0.13572979894649	0.187069850354689
ENSG00000229816	0.3	DDX50P1	DEAD-box helicase 50 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18974]	n/a	0.662042677791087	1.54691881399781	0.000136362113118642	0.00151602505587707	0.0366581250637336	0.120033531532922	0.176151752870859	0.226030160155265
ENSG00000229852	0.3	KHDC1-AS1	KHDC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55468]	n/a	-0.6930366894232	1.07990142411073	2.28401538927953e-09	0.000792370191986673	0.0332290446011451	0.11266204312047	0.206353965272826	0.251286451192059
ENSG00000229886	0.3		novel pseudogene similar to part of CGRP receptor component (CRCP)	n/a	-0.867821995344196	2.55265504539302	0.000807007054664981	0.00229395832961098	0.021517071329691	0.0679075264176415	0.13470591075597	0.190344054389771
ENSG00000229891	0.3	LINC01315	long intergenic non-protein coding RNA 1315 [Source:HGNC Symbol;Acc:HGNC:50513]	n/a	-0.993333949391518	1.71332036941316	3.65811239133377e-05	0.00315575274594435	0.040936954749501	0.118532536675194	0.19738119632758	0.250372840292646
ENSG00000229932	0.3	YWHAZP3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31101]	n/a	0.748921708960818	1.40930042141204	6.05686235054598e-07	6.39247658249832e-05	0.0124825148004155	0.105720368942958	0.161485262924102	0.200315074641301
